"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL","abs_diff","rel_diff"
"Camallanus xenentodoni",2,"adult",2,4,0,"adult",2,1.16083574168083,3.24209561278248
"Capillaria anatis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Capillaria anatis",2,"adult",12,2.27272727272727,0.652892561983471,"adult",2,NA,NA
"Capillaria gracilis",1,"1larv",2,1,NA,"larva",3,NA,NA
"Capillaria gracilis",2,"2larv",2,4,0,"larva",3,NA,NA
"Capillaria gracilis",3,"adult",4,2.5,0.25,"adult",3,NA,NA
"Capillaria oesophagealis",1,"1larv",2,1,0,"larva",2,NA,NA
"Capillaria oesophagealis",2,"adult",2,1,0,"adult",2,NA,NA
"Capillaria phasianina",1,"1larv",1,1,NA,"larva",2,NA,NA
"Capillaria phasianina",2,"adult",2,2,0,"adult",2,NA,NA
"Capillaria pterophylli",1,"adult",3,2,0,"adult",1,0.0579151863924346,1.87799152524302
"Capillospirura pseudoargumentosa",1,"1larv",2,1,0,"larva",2,0.00380906972301805,0.938575682861937
"Capillospirura pseudoargumentosa",2,"adult",1,1,NA,"adult",2,0.110348584742728,1.42541738291448
"Caryophyllaeus laticeps",1,"1larv",1,NA,NA,"larva",2,NA,NA
"Caryophyllaeus laticeps",2,"adult",5,2,0,"adult",2,NA,NA
"Catenotaenia pusilla",1,"1larv",1,1,NA,"larva",2,0.00435568731450835,1.34544913545239
"Catenotaenia pusilla",2,"adult",8,2.39285714285714,0.595663265306122,"adult",2,NA,NA
"Centrorhynchus milvus",1,"1larv",1,1,NA,"larva",3,0.179707739165133,2.93837376836722
"Centrorhynchus milvus",2,"2larv",4,4.66666666666667,0.555555555555555,"larva",3,NA,NA
"Centrorhynchus milvus",3,"adult",1,1,NA,"adult",3,NA,NA
"Cephalochlamys namaquensis",1,"1larv",1,1,NA,"larva",2,0.00144796005403954,0.808990951317715
"Cephalochlamys namaquensis",2,"adult",2,1,0,"adult",2,NA,NA
"Chabertia ovina",1,"adult",3,2,0,"adult",1,NA,NA
"Cheilospirura spinosa",1,"1larv",2,1,0,"larva",2,0.000568471190667073,0.287201796240412
"Cheilospirura spinosa",2,"adult",3,2.66666666666667,0.222222222222222,"adult",2,3.08489790176679,3.41938469997627
"Choanotaenia infundibulum",1,"1larv",13,3.4,0.385454545454545,"larva",2,0.0533383309551136,2.05053847094359
"Choanotaenia infundibulum",2,"adult",5,2.4,0.24,"adult",2,NA,NA
"Cittotaenia citelli",1,"1larv",2,3,0,"larva",2,NA,NA
"Cittotaenia citelli",2,"adult",2,2,0,"adult",2,NA,NA
"Cittotaenia denticulata",1,"1larv",4,3,0,"larva",2,0.0180182905053989,1.0692385864102
"Cittotaenia denticulata",2,"adult",1,1,NA,"adult",2,NA,NA
"Cladotaenia circi",1,"1larv",5,2.7,0.21,"larva",2,0.0831680290447828,2.38321466929198
"Cladotaenia circi",2,"adult",3,2.66666666666667,0.222222222222222,"adult",2,NA,NA
"Cladotaenia globifera",1,"1larv",21,3.06666666666667,0.70031746031746,"larva",2,0.717791351291584,3.29100850811475
"Cladotaenia globifera",2,"adult",11,2.18181818181818,0.439669421487603,"adult",2,NA,NA
"Clavinema fujimotoi",1,"1larv",4,1.83333333333333,0.138888888888889,"larva",2,9.54651467609601e-06,0.0469677871597707
"Clavinema fujimotoi",2,"adult",1,1,NA,"adult",2,105.832309385292,6.05551732784983
"Cloacotaenia megalops",1,"1larv",2,2,0,"larva",2,0.155149726132451,2.63652730634443
"Cloacotaenia megalops",2,"adult",12,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Comephoronema oschmarini",1,"1larv",2,3,0,"larva",2,NA,NA
"Comephoronema oschmarini",2,"adult",1,1,NA,"adult",2,NA,NA
"Confluaria furcifera",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,0.00174198694647676,0.890633150446847
"Confluaria furcifera",2,"adult",6,1.6,0.24,"adult",2,NA,NA
"Confluaria podicipina",1,"1larv",2,1,0,"larva",2,0.00450716444028894,0.942863175623759
"Confluaria podicipina",2,"adult",5,1.4,0.24,"adult",2,NA,NA
"Contracaecum micropapillatum",1,"1larv",11,2.8,1.72363636363636,"larva",3,NA,NA
"Contracaecum micropapillatum",2,"2larv",9,3.61904761904762,2.90249433106576,"larva",3,NA,NA
"Contracaecum micropapillatum",3,"adult",3,3,2,"adult",3,NA,NA
"Contracaecum multipapillatum",1,"1larv",1,1,NA,"larva",4,0.000114749970344653,0.501206454783387
"Contracaecum multipapillatum",2,"2larv",5,3.3,1.21,"larva",4,13.7929561115327,4.91537833511485
"Contracaecum multipapillatum",3,"3larv",1,1,NA,"larva",4,NA,NA
"Contracaecum multipapillatum",4,"adult",12,3.25757575757576,1.13062442607897,"adult",4,NA,NA
"Contracaecum osculatum [A-C]",1,"1larv",8,4,0.5,"larva",4,NA,NA
"Contracaecum osculatum [A-C]",2,"2larv",25,3.77898550724638,0.411297521529091,"larva",4,NA,NA
"Contracaecum osculatum [A-C]",3,"3larv",5,3.1,1.29,"larva",4,2.23836447099419,0.22631323822491
"Contracaecum osculatum [A-C]",4,"adult",8,2.53333333333333,0.248888888888889,"adult",4,100.649336544645,1.28470479975464
"Contracaecum osculatum baicalensis",1,"1larv",1,1,NA,"larva",3,NA,NA
"Contracaecum osculatum baicalensis",2,"2larv",2,1,0,"larva",3,NA,NA
"Contracaecum osculatum baicalensis",3,"adult",1,1,NA,"adult",3,NA,NA
"Contracaecum rudolphii",1,"1larv",10,2.73333333333333,0.995555555555556,"larva",3,4.10102647606617e-05,0.247162431164684
"Contracaecum rudolphii",2,"2larv",28,4.15810276679842,0.978956084300645,"larva",3,0.079082196537974,2.92316696448124
"Contracaecum rudolphii",3,"adult",6,1.66666666666667,0.888888888888889,"adult",3,39.2006474330655,2.69557215840976
"Cooperia curticei",1,"adult",2,2,0,"adult",1,NA,NA
"Cooperia fuelleborni",1,"adult",5,2,0,"adult",1,NA,NA
"Cooperia oncophora",1,"adult",1,1,NA,"adult",1,NA,NA
"Cooperia pectinata",1,"adult",3,2,0,"adult",1,NA,NA
"Cooperia punctata",1,"adult",3,2,0,"adult",1,NA,NA
"Corallobothrium fimbriatum",1,"1larv",3,1,0,"larva",3,0.00232469756292586,1.04495337780724
"Corallobothrium fimbriatum",2,"2larv",1,1,NA,"larva",3,NA,NA
"Corallobothrium fimbriatum",3,"adult",4,1.83333333333333,0.138888888888889,"adult",3,NA,NA
"Corallobothrium parafimbriatum",1,"1larv",5,1.9,0.09,"larva",2,0.00162197271404224,0.818724160012818
"Corallobothrium parafimbriatum",2,"adult",1,1,NA,"adult",2,NA,NA
"Corallotaenia minutia",1,"1larv",5,1.7,0.21,"larva",2,0.00745781602879724,1.63664279955866
"Corallotaenia minutia",2,"adult",1,1,NA,"adult",2,NA,NA
"Coronacanthus integer",1,"1larv",3,1,0,"larva",2,0.219612602480205,2.88942030481284
"Coronacanthus integer",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Coronacanthus omissa",1,"1larv",2,1,0,"larva",2,0.0317101235979372,2.07446694937547
"Coronacanthus omissa",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Coronacanthus vassilevi",1,"1larv",1,1,NA,"larva",2,0.0265381588822405,1.93973826261408
"Coronacanthus vassilevi",2,"adult",1,1,NA,"adult",2,NA,NA
"Corynosoma bullosum",1,"1larv",2,1,NA,"larva",3,1.23544474237998,2.66373941726776
"Corynosoma bullosum",2,"2larv",9,2.72222222222222,0.811728395061728,"larva",3,NA,NA
"Corynosoma bullosum",3,"adult",1,1,NA,"adult",3,NA,NA
"Corynosoma hamanni",1,"1larv",1,1,NA,"larva",3,1.37096590128536,2.58677296361345
"Corynosoma hamanni",2,"2larv",3,1,0,"larva",3,NA,NA
"Corynosoma hamanni",3,"adult",2,2,0,"adult",3,NA,NA
"Corynosoma magdaleni",1,"1larv",1,1,NA,"larva",3,NA,NA
"Corynosoma magdaleni",2,"2larv",4,3.16666666666667,1.13888888888889,"larva",3,NA,NA
"Corynosoma magdaleni",3,"adult",2,2,0,"adult",3,NA,NA
"Corynosoma pseudohamanni",1,"1larv",1,NA,NA,"larva",3,0.6700262362472,2.47742330155674
"Corynosoma pseudohamanni",2,"2larv",5,1.66666666666667,0.222222222222222,"larva",3,0.945832676691768,0.381464020274645
"Corynosoma pseudohamanni",3,"adult",2,2,0,"adult",3,5.78657163437838,0.660500815405184
"Corynosoma semerme",1,"1larv",1,1,NA,"larva",3,NA,NA
"Corynosoma semerme",2,"2larv",6,3.46666666666667,0.648888888888889,"larva",3,NA,NA
"Corynosoma semerme",3,"adult",5,3.1,0.69,"adult",3,NA,NA
"Corynosoma strumosum",1,"1larv",1,1,NA,"larva",3,NA,NA
"Corynosoma strumosum",2,"2larv",6,3.46666666666667,0.648888888888889,"larva",3,NA,NA
"Corynosoma strumosum",3,"adult",6,2.2,0.426666666666667,"adult",3,NA,NA
"Cosmocephalus obvelatus",1,"1larv",4,3.5,0.25,"larva",3,0.00338799351003741,0.938772230637845
"Cosmocephalus obvelatus",2,"2larv",6,3.53333333333333,0.648888888888889,"larva",3,NA,NA
"Cosmocephalus obvelatus",3,"adult",6,2.66666666666667,2.08888888888889,"adult",3,NA,NA
"Crenosoma mephitidis",1,"1larv",9,2.85714285714286,0.193877551020408,"larva",3,0.000292989446913224,0.846233350456417
"Crenosoma mephitidis",2,"2larv",4,4.66666666666667,0.555555555555555,"larva",3,NA,NA
"Crenosoma mephitidis",3,"adult",3,2.66666666666667,0.222222222222222,"adult",3,NA,NA
"Crenosoma striatum",1,"1larv",19,3.28758169934641,0.66239480541672,"larva",2,0.000279408773840745,0.689915524275444
"Crenosoma striatum",2,"adult",1,1,NA,"adult",2,0.521521425658452,3.17212096318621
"Crenosoma vulpis",1,"1larv",14,2.79487179487179,0.291255752794214,"larva",2,NA,NA
"Crenosoma vulpis",2,"adult",7,2.26666666666667,0.328888888888889,"adult",2,NA,NA
"Ctenotaenia marmotae",1,"1larv",2,1,0,"larva",2,0.0158014256493933,1.93819125334797
"Ctenotaenia marmotae",2,"adult",1,1,NA,"adult",2,NA,NA
"Cucullanus chabaudi",1,"adult",1,1,NA,"adult",1,NA,NA
"Cucullanus heterochrous",1,"1larv",5,3.7,0.81,"larva",2,NA,NA
"Cucullanus heterochrous",2,"adult",7,2.28571428571429,0.204081632653061,"adult",2,NA,NA
"Cyathocephalus truncatus",1,"1larv",8,1.92857142857143,0.566326530612245,"larva",2,3.32812209771175,3.88162320869175
"Cyathocephalus truncatus",2,"adult",8,2.42857142857143,0.887755102040816,"adult",2,NA,NA
"Cyathostoma bronchialis",1,"1larv",10,1.53333333333333,0.248888888888889,"larva",2,NA,NA
"Cyathostoma bronchialis",2,"adult",3,2,0,"adult",2,NA,NA
"Cyathostoma lari",1,"1larv",5,NA,NA,"larva",2,NA,NA
"Cyathostoma lari",2,"adult",11,3.47272727272727,0.867438016528926,"adult",2,NA,NA
"Cyathostomum catinatum",1,"adult",5,1,0,"adult",1,0.193684077371705,2.47518851142104
"Cyclodontostomum purvisi",1,"adult",8,2,0,"adult",1,NA,NA
"Cylicocyclus nassatus",1,"adult",5,1,0,"adult",1,0.567994512886753,2.5235971555057
"Cylicostephanus longibursatus",1,"adult",5,1,0,"adult",1,0.216379271394139,2.39641657771372
"Cyrnea colini",1,"1larv",2,4,0,"larva",2,0.0275531420187684,1.72833707870852
"Cyrnea colini",2,"adult",4,2.66666666666667,0.222222222222222,"adult",2,1.81349221326634,1.81682235059
"Cyrnea eurycerca",1,"1larv",1,1,NA,"larva",2,0.0319189086097071,1.63978329874539
"Cyrnea eurycerca",2,"adult",1,1,NA,"adult",2,0.634154235421543,1.30989188979148
"Cyrnea mansioni",1,"1larv",1,1,NA,"larva",3,0.00336543440265041,0.847443715042804
"Cyrnea mansioni",2,"2larv",1,1,NA,"larva",3,NA,NA
"Cyrnea mansioni",3,"adult",2,2,0,"adult",3,NA,NA
"Cystidicola cristivomeri",1,"1larv",1,1,NA,"larva",3,0.153387755878133,2.37946475626939
"Cystidicola cristivomeri",2,"adult",3,1,0,"adult",3,6.16945539607309,1.61334940441715
"Cystidicola cristivomeri",3,"adult",1,1,NA,"adult",3,NA,NA
"Cystidicola farionis",1,"1larv",4,2.66666666666667,0.555555555555556,"larva",3,0.0733192396403441,2.16235671181216
"Cystidicola farionis",2,"adult",15,2.08571428571429,0.706938775510204,"adult",3,0.173058593421109,0.524279557450129
"Cystidicola farionis",3,"adult",1,1,NA,"adult",3,NA,NA
"Cystidicoloides tenuissima",1,"1larv",7,2.53333333333333,0.382222222222222,"larva",3,0.0122926624960078,1.29712451815406
"Cystidicoloides tenuissima",2,"2larv",2,1,NA,"larva",3,NA,NA
"Cystidicoloides tenuissima",3,"adult",4,1.83333333333333,0.138888888888889,"adult",3,NA,NA
"Cystocaulus ocreatus",1,"1larv",26,2.72666666666667,0.305288888888889,"larva",2,0.00108474756828832,1.00252543025004
"Cystocaulus ocreatus",2,"adult",2,2,0,"adult",2,0.775707928024209,2.80956559147324
"Cystoopsis acipenseri",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,NA,NA
"Cystoopsis acipenseri",2,"adult",2,1,0,"adult",2,NA,NA
"Davainea proglottina",1,"1larv",12,2.55555555555556,0.691358024691358,"larva",2,0.01691878543652,1.60386579219122
"Davainea proglottina",2,"adult",1,1,NA,"adult",2,NA,NA
"Davainea tetraoensis",1,"1larv",3,3,0,"larva",2,NA,NA
"Davainea tetraoensis",2,"adult",2,2,0,"adult",2,NA,NA
"Dentitruncus truttae",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,NA,NA
"Dentitruncus truttae",2,"adult",2,2,0,"adult",2,NA,NA
"Desportesius invaginatus",1,"1larv",2,1,NA,"larva",3,0.00228789975656181,0.892256674216099
"Desportesius invaginatus",2,"2larv",3,4.66666666666667,0.222222222222222,"larva",3,NA,NA
"Desportesius invaginatus",3,"adult",3,1.66666666666667,0.222222222222222,"adult",3,NA,NA
"Dichelyne bullocki",1,"adult",1,1,NA,"adult",1,NA,NA
"Dichelyne cotylophora",1,"1larv",1,1,NA,"larva",2,NA,NA
"Dichelyne cotylophora",2,"adult",2,2,0,"adult",2,NA,NA
"Dichelyne minutus",1,"1larv",1,1,NA,"larva",2,0.00246549659526398,1.66542620267935
"Dichelyne minutus",2,"adult",3,3.33333333333333,0.888888888888889,"adult",2,1.00228348490878,2.60069049402506
"Dichoanotaenia gallinagilis",1,"1larv",1,1,NA,"larva",2,0.0460738124593845,1.38721804807645
"Dichoanotaenia gallinagilis",2,"adult",1,1,NA,"adult",2,NA,NA
"Dicranotaenia coronula",1,"1larv",13,3.48717948717949,1.66009204470743,"larva",3,0.0177795556436649,1.81454415316217
"Dicranotaenia coronula",2,"2larv",3,3,2,"larva",3,0.00633842497800521,0.130667140910463
"Dicranotaenia coronula",3,"adult",10,1.64444444444444,0.229135802469136,"adult",3,NA,NA
"Dictyocaulus arnfieldi",1,"adult",2,1,0,"adult",1,7.08420043093789,4.89124115279121
"Dictyocaulus eckerti",1,"adult",4,2.5,0.25,"adult",1,3.77534350738144,4.53917695556668
"Dictyocaulus filaria",1,"adult",2,2,0,"adult",1,11.3363100693932,4.6010102683349
"Dictyocaulus viviparus",1,"adult",2,3,0,"adult",1,NA,NA
"Didelphostrongylus hayesi",1,"1larv",2,2,0,"larva",2,NA,NA
"Didelphostrongylus hayesi",2,"adult",2,1,0,"adult",2,NA,NA
"Dilepis undula",1,"1larv",2,2,0,"larva",2,0.344005032613259,2.7127450231918
"Dilepis undula",2,"adult",16,3.35,1.84416666666667,"adult",2,NA,NA
"Dioctophyma renale",1,"1larv",1,1,NA,"larva",3,0.144669338307674,1.90982965395341
"Dioctophyma renale",2,"2larv",20,4.04575163398693,1.06326626511171,"larva",3,0.0675738750896211,0.16475220902651
"Dioctophyma renale",3,"adult",10,2.88888888888889,0.587654320987654,"adult",3,5055.76699599681,4.37329848245943
"Dioecotaenia cancellata",1,"1larv",3,4.66666666666667,0.222222222222222,"larva",2,NA,NA
"Dioecotaenia cancellata",2,"adult",1,1,NA,"adult",2,NA,NA
"Diorchis asiatica",1,"1larv",4,2.33333333333333,0.555555555555556,"larva",2,0.0165265575937193,1.91776426434642
"Diorchis asiatica",2,"adult",4,1,0,"adult",2,NA,NA
"Diorchis brevis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Diorchis brevis",2,"adult",1,1,NA,"adult",2,NA,NA
"Diorchis bulbodes",1,"1larv",1,1,NA,"larva",2,0.0529442792432445,2.12085534672317
"Diorchis bulbodes",2,"adult",4,1.5,0.25,"adult",2,NA,NA
"Diorchis danutae",1,"1larv",4,2.66666666666667,0.222222222222222,"larva",2,0.0238040831556989,1.88594656461776
"Diorchis danutae",2,"adult",5,1.7,0.21,"adult",2,NA,NA
"Diorchis inflata",1,"1larv",5,4,1.6,"larva",3,0.0401212797789953,1.92390983092952
"Diorchis inflata",2,"2larv",4,2.5,2.25,"larva",3,-0.00604756585816035,-0.0700378666077552
"Diorchis inflata",3,"adult",4,2.5,2.25,"adult",3,NA,NA
"Diorchis nyrocae",1,"1larv",9,3.69444444444444,2.26774691358025,"larva",3,0.03189467034972,2.13374655574778
"Diorchis nyrocae",2,"2larv",2,4,0,"larva",3,-0.0158815798952911,-0.296088840381699
"Diorchis nyrocae",3,"adult",7,1.57142857142857,0.244897959183673,"adult",3,NA,NA
"Diorchis parvogenitalis",1,"1larv",1,1,NA,"larva",2,0.0241326675673256,1.52154039450808
"Diorchis parvogenitalis",2,"adult",5,1.6,0.24,"adult",2,NA,NA
"Diorchis ransomi",1,"1larv",8,3.82142857142857,1.8609693877551,"larva",3,0.0295841162194673,1.68825421876642
"Diorchis ransomi",2,"2larv",3,3,2,"larva",3,-0.00776968223110316,-0.129155221009464
"Diorchis ransomi",3,"adult",4,2.5,2.25,"adult",3,NA,NA
"Diphyllobothrium dendriticum",1,"1larv",8,2.71428571428571,2.20408163265306,"larva",4,0.00163757039431808,0.554457028622478
"Diphyllobothrium dendriticum",2,"2larv",13,2.46969696969697,1.12786960514233,"larva",4,2.63772887508721,3.06536290562041
"Diphyllobothrium dendriticum",3,"3larv",8,1.71428571428571,0.204081632653061,"larva",4,0,0
"Diphyllobothrium dendriticum",4,"adult",9,3.21428571428571,2.66836734693878,"adult",4,NA,NA
"Diphyllobothrium latum",1,"1larv",15,2.71428571428571,1.80408163265306,"larva",4,0.0056081094058007,1.0725766498019
"Diphyllobothrium latum",2,"2larv",10,3.46666666666667,0.915555555555556,"larva",4,NA,NA
"Diphyllobothrium latum",3,"3larv",3,4,0,"larva",4,NA,NA
"Diphyllobothrium latum",4,"adult",2,4,0,"adult",4,NA,NA
"Diphyllobothrium nihonkaiense",1,"1larv",1,1,NA,"larva",4,NA,NA
"Diphyllobothrium nihonkaiense",2,"2larv",4,1.5,0.25,"larva",4,NA,NA
"Diphyllobothrium nihonkaiense",3,"3larv",1,1,NA,"larva",4,NA,NA
"Diphyllobothrium nihonkaiense",4,"adult",2,4,0,"adult",4,NA,NA
"Diplocotyle olrikii",1,"1larv",11,2.5,0.527777777777778,"larva",2,81.0414184068999,5.13230466160671
"Diplocotyle olrikii",2,"adult",19,3.47058823529412,0.837370242214533,"adult",2,NA,NA
"Diplogonoporus balaenopterae",1,"1larv",2,4,0,"larva",3,-0.000264516740252037,-0.106897535350648
"Diplogonoporus balaenopterae",2,"2larv",3,3.66666666666667,0.222222222222222,"larva",3,NA,NA
"Diplogonoporus balaenopterae",3,"adult",5,3.3,1.21,"adult",3,NA,NA
"Diploposthe laevis",1,"1larv",5,3.1,2.49,"larva",3,0.0178036739122659,1.63194971136565
"Diploposthe laevis",2,"2larv",5,2.2,2.16,"larva",3,0.00133507215802054,0.0306962624685496
"Diploposthe laevis",3,"adult",5,1.6,0.24,"adult",3,NA,NA
"Diploposthe skrjabini",1,"1larv",6,3.6,2.37333333333333,"larva",2,NA,NA
"Diploposthe skrjabini",2,"adult",1,1,NA,"adult",2,NA,NA
"Diplotriaena agelaius",1,"1larv",1,1,NA,"larva",2,0.000493634003068972,0.17729284645351
"Diplotriaena agelaius",2,"adult",1,1,NA,"adult",2,45.9075003291372,4.49376450313104
"Diplotriaena bargusinica",1,"1larv",3,1.66666666666667,0.222222222222222,"larva",2,0.000324712817560184,0.108814016721943
"Diplotriaena bargusinica",2,"adult",1,1,NA,"adult",2,24.9183075517807,4.23067356158584
"Diplotriaena sokolowi",1,"1larv",1,1,NA,"larva",2,8.09221907687168e-05,0.0305944654680852
"Diplotriaena sokolowi",2,"adult",1,1,NA,"adult",2,16.9719518918137,4.15434572591874
"Diplotriaena tricuspis",1,"1larv",2,2,0,"larva",2,-0.000305380477387604,-0.16141520243055
"Diplotriaena tricuspis",2,"adult",1,1,NA,"adult",2,114.113994647191,5.22586480548963
"Diplotriaena tridens",1,"1larv",1,1,NA,"larva",2,NA,NA
"Diplotriaena tridens",2,"adult",1,1,NA,"adult",2,NA,NA
"Dipylidium caninum",1,"1larv",4,4,0,"larva",2,NA,NA
"Dipylidium caninum",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,NA,NA
"Dispharynx nasuta",1,"1larv",4,2.83333333333333,0.138888888888889,"larva",2,0.021793958928225,1.71758507317705
"Dispharynx nasuta",2,"adult",4,3.33333333333333,0.555555555555556,"adult",2,1.26110387793543,1.76159783714172
"Dollfusentis chandleri",1,"1larv",3,2,0,"larva",2,0.609188587652087,3.34331625948185
"Dollfusentis chandleri",2,"adult",9,4,0.666666666666667,"adult",2,0.797685497045457,0.363391758851707
"Dracunculus insignis",1,"1larv",2,2,0,"larva",3,-0.000121365746412216,-0.318437086739543
"Dracunculus insignis",2,"2larv",3,3,0,"larva",3,NA,NA
"Dracunculus insignis",3,"adult",6,3.33333333333333,0.888888888888889,"adult",3,NA,NA
"Dracunculus medinensis",1,"1larv",5,1.8,0.16,"larva",2,-0.000525682070406649,-0.71299294665672
"Dracunculus medinensis",2,"adult",4,3.66666666666667,0.222222222222222,"adult",2,1182.69497060232,6.97166867773036
"Dracunculus ophidensis",1,"1larv",1,1,NA,"larva",3,NA,NA
"Dracunculus ophidensis",2,"2larv",1,NA,NA,"larva",3,NA,NA
"Dracunculus ophidensis",3,"adult",2,2,0,"adult",3,NA,NA
"Drepanidotaenia bisacculina",1,"1larv",1,1,NA,"larva",2,NA,NA
"Drepanidotaenia bisacculina",2,"adult",1,1,NA,"adult",2,NA,NA
"Drepanidotaenia lanceolata",1,"1larv",11,1.83636363636364,0.136859504132231,"larva",2,NA,NA
"Drepanidotaenia lanceolata",2,"adult",4,2,0,"adult",2,NA,NA
"Duplicibothrium minutum",1,"1larv",4,4,1,"larva",2,NA,NA
"Duplicibothrium minutum",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinobothrium affine",1,"1larv",2,3,0,"larva",2,NA,NA
"Echinobothrium affine",2,"adult",4,1,0,"adult",2,NA,NA
"Echinobothrium benedeni",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinobothrium benedeni",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinobothrium chisholmae",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinobothrium chisholmae",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinobothrium lateroporum",1,"1larv",3,5,2,"larva",2,NA,NA
"Echinobothrium lateroporum",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinobothrium reesae",1,"1larv",1,1,NA,"larva",2,3.01027036311843,3.73557065382116
"Echinobothrium reesae",2,"adult",2,1,0,"adult",2,NA,NA
"Echinobothrium typus",1,"1larv",2,3,0,"larva",2,NA,NA
"Echinobothrium typus",2,"adult",5,3,1.8,"adult",2,NA,NA
"Echinocephalus overstreeti",1,"1larv",2,2,0,"larva",2,NA,NA
"Echinocephalus overstreeti",2,"adult",6,3.8,0.16,"adult",2,NA,NA
"Echinocephalus pseudouncinatus",1,"1larv",3,4.33333333333333,5.55555555555555,"larva",2,NA,NA
"Echinocephalus pseudouncinatus",2,"adult",2,4,0,"adult",2,85.2465403443124,1.14526928462027
"Echinocephalus sinensis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinocephalus sinensis",2,"adult",2,1,0,"adult",2,3.62179855241551,0.747536059007214
"Echinocephalus uncinatus",1,"1larv",2,5,0,"larva",2,NA,NA
"Echinocephalus uncinatus",2,"adult",2,3,0,"adult",2,14.1632847680292,0.548738158612616
"Echinococcus borealis",1,"1larv",2,2,0,"larva",2,NA,NA
"Echinococcus borealis",2,"adult",2,1,0,"adult",2,NA,NA
"Echinococcus canadensis",1,"1larv",5,1.9,0.09,"larva",2,NA,NA
"Echinococcus canadensis",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Echinococcus equinus",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinococcus equinus",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinococcus felidis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinococcus felidis",2,"adult",2,3,0,"adult",2,NA,NA
"Echinococcus granulosus",1,"1larv",9,3.5,0.638888888888889,"larva",2,NA,NA
"Echinococcus granulosus",2,"adult",2,1,0,"adult",2,NA,NA
"Echinococcus intermedius",1,"1larv",5,3.3,0.41,"larva",2,NA,NA
"Echinococcus intermedius",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinococcus multilocularis",1,"1larv",7,2.42857142857143,1.10204081632653,"larva",2,NA,NA
"Echinococcus multilocularis",2,"adult",8,2.0952380952381,0.467120181405896,"adult",2,NA,NA
"Echinococcus oligarthrus",1,"1larv",7,3.33333333333333,0.793650793650794,"larva",2,NA,NA
"Echinococcus oligarthrus",2,"adult",6,1.86666666666667,0.115555555555556,"adult",2,NA,NA
"Echinococcus ortleppi",1,"1larv",4,3.33333333333333,0.555555555555556,"larva",2,NA,NA
"Echinococcus ortleppi",2,"adult",2,1,0,"adult",2,NA,NA
"Echinococcus shiquicus",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinococcus shiquicus",2,"adult",2,2,0,"adult",2,NA,NA
"Echinococcus vogeli",1,"1larv",3,3.66666666666667,0.222222222222222,"larva",2,NA,NA
"Echinococcus vogeli",2,"adult",2,2,0,"adult",2,NA,NA
"Echinocotyle clanguli",1,"1larv",2,1,0,"larva",2,0.0168485184808347,1.52649487343208
"Echinocotyle clanguli",2,"adult",1,1,NA,"adult",2,NA,NA
"Echinocotyle clerci",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinocotyle clerci",2,"adult",2,1,0,"adult",2,NA,NA
"Echinocotyle druzniensis",1,"1larv",5,1.9,0.09,"larva",2,NA,NA
"Echinocotyle druzniensis",2,"adult",2,2,0,"adult",2,NA,NA
"Echinocotyle rosseteri",1,"1larv",1,1,NA,"larva",3,NA,NA
"Echinocotyle rosseteri",2,"2larv",6,2.8,2.16,"larva",3,-0.0142048682628389,-0.272637118205518
"Echinocotyle rosseteri",3,"adult",7,1,0,"adult",3,NA,NA
"Echinorhynchus borealis",1,"1larv",3,3,0,"larva",2,0.393635574469673,2.95166923597583
"Echinorhynchus borealis",2,"adult",6,4,0,"adult",2,7.8944192357729,1.32289566511083
"Echinorhynchus bothniensis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Echinorhynchus bothniensis",2,"adult",7,3.42857142857143,0.816326530612245,"adult",2,NA,NA
"Echinorhynchus gadi",1,"1larv",7,2.85714285714286,0.217687074829932,"larva",3,0.325559572389462,2.31899303432413
"Echinorhynchus gadi",2,"adult",6,3.2,0.96,"adult",3,32.9713835927594,2.00770586135692
"Echinorhynchus gadi",3,"adult",1,1,NA,"adult",3,NA,NA
